,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,SCALED_SCORE
201,0,0,1,0,279000.0,2,1,3,1,-11091,-617,1,0,0,1,10,1.0,5.0
202,0,0,1,0,157500.0,4,4,1,1,-16757,-3508,1,0,0,0,3,2.0,5.0
203,1,1,0,2,157500.0,4,4,1,2,-12518,-1135,1,0,0,0,1,4.0,5.947368421052632
204,1,0,1,0,135000.0,4,4,1,1,-20931,-191,1,0,1,1,16,2.0,5.833333333333333
205,0,0,0,0,225000.0,0,4,1,1,-10304,-1682,1,0,0,0,8,2.0,5.0
206,0,1,1,2,306000.0,2,1,1,1,-13541,-3965,1,0,0,0,3,4.0,5.767441860465116
210,0,0,1,1,67500.0,2,4,1,2,-15397,-1894,1,1,1,0,3,3.0,5.8
211,1,0,1,0,180000.0,4,4,3,1,-8363,-525,1,0,0,0,17,1.0,5.0
212,1,1,1,0,315000.0,4,4,1,1,-14170,-921,1,0,0,0,10,2.0,5.538461538461538
213,0,1,1,1,202500.0,4,4,1,1,-14995,-5365,1,0,0,1,17,3.0,5.75
214,0,0,1,2,270000.0,4,4,1,1,-12927,-2078,1,1,1,1,10,4.0,6.0
216,0,1,1,1,157500.0,4,4,1,1,-12500,-5762,1,0,0,0,10,3.0,5.0
217,1,1,1,0,202500.0,0,3,1,1,-18614,-7738,1,0,0,0,17,2.0,5.0
218,1,1,1,0,252000.0,4,4,1,1,-22117,-1621,1,0,1,1,16,2.0,5.068965517241379
219,0,0,1,0,135000.0,2,4,1,1,-18501,-1866,1,0,0,0,11,2.0,4.916666666666667
220,0,0,1,0,135000.0,0,4,1,1,-21300,-464,1,0,0,0,8,2.0,5.0
221,1,0,1,0,90000.0,4,4,1,1,-8824,-739,1,0,0,1,8,2.0,5.0
222,1,1,1,2,225000.0,0,4,0,1,-18376,-4270,1,1,1,1,17,4.0,5.0
223,1,0,0,1,247500.0,4,4,3,1,-16797,-6583,1,0,1,0,8,2.0,5.842105263157895
224,0,0,1,0,76500.0,0,4,1,1,-15602,-5061,1,0,1,0,14,2.0,5.793103448275862
226,1,0,1,0,360000.0,4,4,1,1,-18104,-1317,1,0,0,0,4,2.0,5.814814814814815
228,1,1,1,0,135000.0,4,3,1,5,-9981,-1866,1,0,0,1,8,2.0,5.5
229,0,0,1,0,135000.0,0,1,1,1,-13764,-3996,1,0,0,1,3,2.0,5.153846153846154
230,1,1,1,0,202500.0,0,1,1,1,-18973,-1074,1,1,0,0,17,2.0,5.888888888888889
231,0,1,1,1,90000.0,2,4,1,1,-17532,-8044,1,0,0,0,11,3.0,5.243243243243243
232,1,1,1,0,315000.0,0,2,1,1,-21572,-2170,1,0,0,0,15,2.0,5.823529411764706
233,1,1,1,0,225000.0,4,4,1,1,-16507,-4331,1,0,0,0,4,2.0,5.857142857142857
234,1,1,1,0,225000.0,4,4,1,1,-20145,-1043,1,0,0,0,8,2.0,5.588235294117647
235,0,1,1,0,247500.0,2,4,1,1,-19714,-8348,1,0,0,0,10,2.0,6.0
236,0,1,1,1,67500.0,4,4,0,1,-14686,-3600,1,1,0,0,2,3.0,5.0
239,0,0,1,0,99000.0,4,4,3,1,-10016,-1164,1,1,0,0,14,1.0,5.333333333333333
240,0,0,1,0,135000.0,0,4,1,1,-14918,-1866,1,0,0,0,14,2.0,5.128205128205129
241,0,0,1,0,189000.0,0,4,1,1,-20233,-6218,1,1,1,0,17,2.0,5.0
243,0,1,1,1,112500.0,0,4,1,1,-15109,-1956,1,0,0,0,3,3.0,5.0
244,1,0,0,0,135000.0,0,1,1,1,-9493,-130,1,0,0,1,2,2.0,5.107142857142857
246,0,0,1,0,328500.0,0,4,1,1,-20023,-1894,1,0,0,1,10,2.0,5.083333333333333
247,0,0,0,0,126000.0,4,4,3,5,-8209,-951,1,0,0,0,14,1.0,5.0
248,1,1,0,1,180000.0,2,2,1,5,-10591,-1195,1,0,0,0,4,3.0,5.833333333333333
249,0,0,1,0,310500.0,2,1,3,1,-13141,-1317,1,0,0,1,0,1.0,5.538461538461538
250,0,0,1,0,126000.0,0,4,1,1,-14265,-7373,1,1,1,0,8,2.0,5.166666666666667
251,0,0,1,2,67500.0,4,4,2,1,-14832,-7404,1,1,0,0,17,3.0,5.794117647058823
252,1,1,0,0,90000.0,0,4,3,1,-12383,-2017,1,1,1,0,4,1.0,5.774193548387097
253,0,1,1,1,157500.0,4,1,2,1,-9800,-2109,1,0,0,1,11,2.0,5.764705882352941
255,0,1,1,1,225000.0,4,1,1,1,-14148,-1591,1,1,1,0,6,3.0,5.0
257,1,1,0,1,270000.0,4,4,2,1,-13425,-3143,1,0,0,0,4,2.0,6.0
258,0,0,1,0,67500.0,4,4,1,1,-15675,-283,1,0,0,1,11,2.0,5.548387096774194
259,0,1,0,1,180000.0,4,4,1,1,-11107,-130,1,0,0,0,14,3.0,5.375
262,0,1,1,0,157500.0,4,4,1,1,-13247,-5823,1,1,0,0,3,2.0,5.761904761904762
263,0,0,1,0,171000.0,3,1,1,1,-18756,-3904,1,0,0,1,3,2.0,5.941176470588236
264,0,1,1,1,157500.0,4,4,1,1,-12622,-678,1,0,1,0,14,3.0,5.0
266,1,1,1,0,135000.0,0,1,0,1,-13087,-313,1,0,0,0,17,2.0,5.864406779661017
267,1,1,1,2,315000.0,4,1,1,1,-13803,-160,1,1,1,0,17,4.0,5.0
269,0,1,0,2,270000.0,2,1,1,1,-13768,-4666,1,0,0,0,15,4.0,5.133333333333334
270,1,1,1,1,202500.0,4,4,1,1,-10218,-313,1,1,0,0,17,3.0,5.791666666666667
271,0,0,0,1,90000.0,4,4,2,4,-14210,-344,1,0,0,1,14,2.0,5.0
272,0,1,1,0,135000.0,4,4,3,1,-17334,-2504,1,0,0,0,14,1.0,5.833333333333333
273,0,1,1,1,157500.0,0,4,1,1,-13830,-4239,1,0,0,0,8,3.0,5.0
276,1,1,1,0,90000.0,4,4,1,1,-21180,-1440,1,0,0,0,16,2.0,5.0
277,0,1,0,2,135000.0,4,4,1,1,-13928,-3052,1,0,0,0,8,4.0,5.849056603773585
278,1,1,1,0,135000.0,0,4,1,1,-15774,-2901,1,0,1,0,6,2.0,6.0
279,1,1,1,1,247500.0,4,4,1,1,-11320,-1591,1,0,0,1,4,3.0,5.0
280,0,0,0,1,72000.0,0,1,1,1,-14173,-1925,1,0,0,1,0,3.0,5.0
281,1,1,0,0,135000.0,4,4,1,1,-20476,-525,1,0,0,0,4,2.0,5.666666666666667
282,1,1,1,1,180000.0,4,4,1,1,-16809,-3327,1,0,0,0,10,3.0,5.85
284,0,0,1,1,247500.0,0,2,1,1,-10916,-921,1,0,0,0,0,3.0,5.0
285,0,0,1,2,90000.0,4,1,1,1,-11864,-4513,1,0,0,0,4,4.0,5.0
287,0,0,1,0,184500.0,4,4,1,1,-18551,-1226,1,0,0,0,1,2.0,5.684210526315789
288,0,0,1,0,90000.0,4,4,0,1,-21183,-1104,1,0,0,0,1,2.0,5.87037037037037
290,0,0,1,0,180000.0,4,4,3,1,-19421,-2017,1,0,0,0,17,1.0,5.0
291,0,1,1,0,180000.0,4,4,0,1,-12461,-678,1,0,0,0,14,2.0,5.485714285714286
294,0,1,1,2,67500.0,4,1,1,1,-11925,-1621,1,0,0,0,17,4.0,5.0
295,1,0,0,1,112500.0,4,4,1,1,-8843,-495,1,1,1,0,8,3.0,5.294117647058823
296,1,1,0,0,180000.0,4,1,3,1,-11055,-1074,1,0,0,0,8,1.0,5.7073170731707314
297,1,1,1,2,270000.0,4,4,1,1,-13360,-4086,1,0,0,0,8,4.0,5.0
298,1,1,1,0,180000.0,4,4,1,1,-17158,-2990,1,0,0,0,14,2.0,5.4
299,0,0,1,1,157500.0,4,4,0,1,-15514,-8714,1,0,0,0,17,3.0,5.0
300,0,0,1,2,225000.0,4,4,0,1,-12798,-648,1,0,0,0,14,4.0,5.0
301,1,1,1,0,189000.0,4,4,1,1,-20815,-829,1,0,0,1,16,2.0,5.0
302,1,1,1,0,292500.0,4,1,1,1,-10297,-2231,1,0,0,0,10,2.0,5.384615384615385
303,1,1,1,0,99000.0,4,4,3,1,-20659,-313,1,1,1,1,8,1.0,5.823529411764706
304,1,0,0,0,202500.0,0,2,0,5,-12180,-405,1,0,0,0,17,2.0,5.076923076923077
305,0,1,1,2,292500.0,0,1,1,1,-13958,-3021,1,0,0,0,14,4.0,5.0
306,1,1,0,0,202500.0,4,4,1,1,-15862,-5061,1,0,1,0,4,2.0,5.0
307,1,0,1,2,180000.0,4,4,1,1,-13828,-6004,1,1,1,0,8,4.0,5.0
308,0,0,1,0,135000.0,4,4,1,1,-21396,-1013,1,0,0,1,6,2.0,5.375
309,0,0,1,0,157500.0,4,4,0,1,-11853,-5061,1,1,0,0,18,2.0,5.0
310,1,1,1,0,157500.0,4,4,1,1,-22014,-10236,1,1,1,0,3,2.0,5.0
313,0,1,1,1,112500.0,4,1,3,1,-13896,-344,1,0,0,0,2,2.0,5.0
314,1,0,1,0,135000.0,4,4,3,1,-11036,-4301,1,1,1,0,8,1.0,5.791666666666667
315,0,0,0,0,360000.0,4,4,1,1,-15533,-3386,1,0,0,0,17,2.0,5.0
316,0,0,1,0,135000.0,4,1,1,5,-14160,-4635,1,0,0,0,14,2.0,5.0
318,1,0,0,0,337500.0,4,1,1,1,-17004,-4574,1,0,0,1,10,2.0,5.260869565217392
319,0,0,1,1,99000.0,4,4,1,2,-11039,-2809,1,0,0,0,8,3.0,5.741935483870968
320,0,0,0,0,45000.0,2,4,1,1,-13941,-5334,1,1,1,0,11,2.0,5.0
321,0,0,1,0,270000.0,4,4,1,2,-15450,-770,1,0,0,1,16,2.0,5.8125
322,0,1,1,0,270000.0,4,4,1,1,-13095,-1652,1,0,0,0,6,2.0,5.46875
323,1,1,1,2,139500.0,4,4,1,1,-17281,-5578,1,1,0,0,4,4.0,5.769230769230769
324,0,0,1,0,90000.0,0,4,1,1,-18656,-2656,1,0,0,0,8,2.0,5.0
325,0,0,1,1,180000.0,4,4,1,1,-11050,-921,1,0,0,0,1,3.0,5.384615384615385
327,0,0,1,1,90000.0,4,4,1,1,-17864,-7070,1,0,0,1,17,3.0,4.977272727272728
328,0,0,1,0,157500.0,0,4,1,1,-16562,-1043,1,0,0,0,16,2.0,5.72972972972973
329,0,1,1,1,112500.0,4,4,1,1,-14045,-1043,1,0,0,0,14,3.0,6.0
332,0,0,1,1,270000.0,4,4,1,1,-9910,-678,1,0,0,0,10,3.0,5.0
334,1,1,1,0,112500.0,4,4,1,1,-22720,-860,1,0,1,1,9,2.0,5.44
335,0,0,1,1,360000.0,4,4,1,1,-10556,-1379,1,0,0,0,10,3.0,5.0
337,1,1,1,0,243000.0,0,4,1,1,-13533,-2535,1,0,1,0,8,2.0,5.538461538461538
338,0,0,0,0,94500.0,4,4,4,4,-22265,-829,1,0,0,1,14,1.0,5.912280701754386
339,0,1,1,2,270000.0,4,4,0,1,-12745,-525,1,0,0,1,3,4.0,5.0
340,0,0,0,0,135000.0,4,4,3,1,-16814,-6614,1,0,0,0,17,1.0,5.575757575757576
