,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,CREDIT_USE_MONTH,NOT_USED_MONTH,SCALED_SCORE,WINDOW
14,5008873,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,22.0,0.0,5.727272727272728,22
15,5008884,0,0,1,0,315000.0,1,4,4,1,-20186,365243,1,0,0,0,17,1.0,27.0,14.0,5.851851851851852,41
16,5008888,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,4.0,2.0,5.0,6
17,5008891,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,8.0,0.0,5.875,8
18,5008942,0,0,0,0,157500.0,0,1,1,1,-13642,-4846,1,0,1,0,6,2.0,15.0,1.0,4.8,16
19,5008951,1,0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,17,3.0,46.0,0.0,5.869565217391305,46
20,5008955,0,1,1,0,135000.0,4,4,1,1,-17785,-1712,1,0,0,0,8,2.0,5.0,0.0,5.0,5
21,5008966,1,0,1,0,157500.0,4,4,1,1,-16027,-889,1,0,1,0,17,2.0,15.0,1.0,4.933333333333334,16
22,5008974,0,0,1,0,112500.0,1,4,1,1,-22319,365243,1,0,0,0,17,2.0,2.0,1.0,5.0,3
23,5008991,0,1,1,0,270000.0,4,4,2,1,-16582,-1194,1,1,1,0,1,1.0,26.0,3.0,5.0,29
24,5009000,1,1,1,0,157500.0,4,4,1,1,-9927,-828,1,0,0,0,4,2.0,23.0,0.0,5.608695652173913,23
25,5009001,1,0,1,0,166500.0,4,4,1,1,-18926,-6276,1,1,1,0,8,2.0,6.0,1.0,5.0,7
26,5009016,0,0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,17,4.0,25.0,0.0,5.76,25
27,5009027,0,1,1,0,270000.0,0,4,1,1,-19861,-10843,1,0,0,1,8,2.0,15.0,7.0,5.0,22
28,5009028,0,1,1,0,225000.0,0,4,1,1,-14450,-2777,1,0,0,0,8,2.0,10.0,1.0,4.9,11
29,5009031,0,0,1,0,315000.0,4,4,3,1,-10554,-1194,1,0,0,0,0,1.0,4.0,10.0,5.5,14
30,5009033,0,0,0,0,255150.0,1,2,0,4,-18682,365243,1,0,0,0,17,2.0,4.0,13.0,5.0,17
31,5009039,0,0,1,2,157500.0,4,4,3,1,-14326,-555,1,0,0,0,3,3.0,7.0,2.0,5.857142857142857,9
32,5009042,0,0,1,0,148500.0,4,1,1,1,-17641,-889,1,0,0,0,3,2.0,8.0,13.0,5.0,21
33,5009050,0,0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,3,4.0,14.0,0.0,5.571428571428571,14
34,5009056,1,0,1,0,202500.0,4,4,3,1,-8861,-889,1,1,0,0,4,1.0,10.0,0.0,5.0,10
35,5009060,0,0,1,0,94500.0,1,1,1,1,-22331,365243,1,0,1,0,17,2.0,4.0,0.0,5.0,4
36,5009062,1,1,1,0,315000.0,4,4,0,1,-10450,-2077,1,0,0,0,14,2.0,19.0,19.0,5.842105263157895,38
37,5009071,0,1,1,0,270000.0,0,2,0,2,-10264,-3173,1,0,1,1,6,2.0,16.0,5.0,5.5625,21
38,5009074,0,1,1,1,450000.0,2,1,1,1,-17726,-708,1,0,1,1,3,3.0,23.0,0.0,5.0,23
39,5009078,1,0,1,1,180000.0,4,4,1,5,-14122,-1286,1,0,0,0,4,3.0,31.0,0.0,5.806451612903226,31
40,5009079,0,0,1,0,112500.0,4,1,0,1,-10064,-3173,1,0,0,1,8,2.0,44.0,0.0,5.818181818181818,44
41,5009083,1,0,1,0,90000.0,4,4,1,1,-20531,-5730,1,0,0,0,4,2.0,39.0,9.0,6.0,48
42,5009088,1,1,0,2,202500.0,0,1,1,1,-14730,-2989,1,0,0,0,8,4.0,32.0,9.0,5.0,41
43,5009090,1,1,1,0,247500.0,4,4,1,1,-12628,-4025,1,0,0,0,4,2.0,14.0,0.0,5.0,14
44,5009092,1,1,1,1,765000.0,4,1,1,1,-12197,-1194,1,1,0,0,10,3.0,4.0,0.0,4.5,4
45,5009096,0,0,1,1,270000.0,0,4,1,1,-13679,-4391,1,0,0,1,0,3.0,24.0,1.0,5.833333333333333,25
46,5009099,0,0,1,0,315000.0,4,1,2,1,-13271,-555,1,0,0,0,10,1.0,10.0,19.0,5.0,29
47,5009103,1,1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4,4.0,37.0,2.0,5.8108108108108105,39
48,5009108,1,0,1,0,360000.0,0,4,1,1,-15321,-2747,1,0,0,0,16,2.0,8.0,0.0,5.0,8
49,5009110,0,0,1,0,112500.0,0,1,1,1,-8842,-312,1,0,0,1,6,2.0,4.0,0.0,4.75,4
50,5009116,0,0,0,0,157500.0,0,1,2,5,-15737,-432,1,0,0,0,17,1.0,13.0,0.0,5.6923076923076925,13
51,5009133,1,0,1,0,382500.0,1,4,4,1,-21673,365243,1,0,0,0,17,1.0,12.0,5.0,5.75,17
52,5009141,0,0,0,0,135000.0,4,4,0,1,-9657,-1560,1,1,1,0,10,2.0,34.0,0.0,5.764705882352941,34
53,5009143,1,1,0,0,225000.0,1,4,0,1,-18289,365243,1,0,0,0,17,2.0,12.0,0.0,5.083333333333333,12
54,5009145,1,1,0,0,315000.0,4,1,1,1,-15825,-3720,1,1,1,0,10,2.0,36.0,0.0,5.888888888888889,36
55,5009151,0,0,0,0,180000.0,4,4,1,1,-19575,-2901,1,0,0,0,14,2.0,29.0,1.0,5.862068965517241,30
56,5009163,0,0,0,0,157500.0,4,4,1,1,-12915,-3174,1,0,1,0,14,2.0,13.0,0.0,5.0,13
57,5009170,0,1,0,0,144000.0,1,4,1,1,-22877,365243,1,0,1,1,17,2.0,14.0,0.0,5.214285714285714,14
58,5009177,1,1,0,0,229500.0,4,2,1,0,-18325,-1256,1,0,0,0,8,2.0,47.0,3.0,5.23404255319149,50
59,5009186,0,0,0,0,270000.0,4,1,1,1,-17573,-5792,1,1,1,0,10,2.0,4.0,0.0,4.75,4
60,5009195,0,0,0,0,292500.0,2,4,1,1,-20953,-8684,1,1,1,0,0,2.0,6.0,1.0,5.0,7
61,5009220,0,1,0,0,225000.0,4,4,1,1,-14667,-798,1,1,0,0,10,2.0,28.0,0.0,5.75,28
62,5009238,1,1,0,0,157500.0,4,2,1,5,-10611,-982,1,0,1,0,4,2.0,20.0,1.0,5.75,21
63,5009242,0,0,0,0,74250.0,4,1,2,2,-19082,-5243,1,0,1,0,3,1.0,34.0,1.0,5.823529411764706,35
64,5009249,1,1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,4,3.0,27.0,0.0,5.851851851851852,27
65,5009255,0,0,0,0,144000.0,4,4,3,1,-15970,-8987,1,0,0,0,1,1.0,7.0,0.0,5.0,7
66,5009260,0,0,0,0,202500.0,2,1,1,5,-14562,-1287,1,0,1,0,3,2.0,20.0,0.0,5.8,20
67,5009264,0,0,0,0,40500.0,1,4,3,1,-21091,365243,1,0,0,0,17,1.0,12.0,0.0,5.25,12
68,5009265,1,1,0,0,337500.0,2,1,1,5,-10266,-1652,1,1,1,0,10,2.0,36.0,0.0,5.722222222222222,36
69,5009270,1,0,0,0,180000.0,0,4,1,2,-14781,-2443,1,0,1,0,8,2.0,27.0,2.0,5.0,29
70,5009278,0,0,0,0,130500.0,4,4,0,1,-15140,-4816,1,0,1,0,1,2.0,5.0,16.0,5.8,21
71,5009295,0,0,0,0,144000.0,1,4,1,1,-21041,365243,1,0,1,0,17,2.0,28.0,6.0,5.75,34
72,5009297,0,0,0,0,193500.0,4,4,3,2,-16099,-1866,1,0,1,0,8,1.0,16.0,7.0,4.9375,23
73,5009302,0,0,0,0,112500.0,1,4,4,1,-22061,365243,1,0,0,0,17,1.0,26.0,0.0,5.615384615384615,26
74,5009306,0,1,0,0,135000.0,1,4,1,1,-20140,365243,1,0,1,1,17,2.0,21.0,7.0,5.0,28
75,5009325,1,1,0,0,267750.0,4,1,1,1,-20991,-4727,1,0,1,0,8,2.0,7.0,10.0,5.0,17
76,5009335,0,0,0,0,139500.0,4,1,2,1,-16203,-7100,1,0,0,0,10,1.0,5.0,5.0,5.0,10
77,5009338,1,0,0,0,67500.0,4,4,1,1,-18674,-5304,1,1,1,0,16,2.0,13.0,0.0,5.0,13
78,5009340,1,1,0,0,252000.0,4,4,1,1,-10750,-2443,1,0,0,0,6,2.0,35.0,0.0,5.485714285714286,35
79,5009349,1,0,0,0,180000.0,0,3,1,1,-21155,-130,1,0,1,0,4,2.0,11.0,20.0,5.0,31
80,5009355,0,0,0,0,135000.0,0,4,1,1,-19692,-5273,1,1,1,0,8,2.0,25.0,1.0,5.0,26
81,5009359,0,1,0,0,900000.0,4,1,3,1,-19063,-7404,1,0,0,0,10,1.0,16.0,0.0,5.0625,16
82,5009361,1,1,0,0,180000.0,0,1,0,1,-14867,-586,1,1,0,0,4,2.0,21.0,0.0,5.809523809523809,21
83,5009368,1,1,0,0,115290.0,1,4,1,1,-23187,365243,1,0,1,1,17,2.0,13.0,1.0,5.615384615384615,14
84,5009378,0,0,0,2,225000.0,4,1,1,1,-11281,-1744,1,1,0,1,3,4.0,40.0,0.0,5.85,40
85,5009379,1,1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,14,3.0,4.0,1.0,5.0,5
86,5009383,0,0,0,0,450000.0,2,1,1,1,-14718,-5578,1,0,1,0,10,2.0,30.0,1.0,5.233333333333333,31
87,5009389,1,0,0,0,279000.0,2,1,3,1,-11042,-3174,1,0,0,0,3,1.0,17.0,0.0,5.352941176470588,17
88,5009396,0,0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,0,3.0,56.0,0.0,5.928571428571429,56
89,5009402,1,0,0,0,202500.0,0,4,1,1,-20604,-252,1,1,1,0,16,2.0,6.0,2.0,5.0,8
90,5009404,0,0,0,2,67500.0,0,1,1,1,-10331,-433,1,0,1,0,3,4.0,8.0,0.0,5.0,8
91,5009415,0,0,0,0,90000.0,4,4,3,1,-19304,-464,1,1,1,0,3,1.0,8.0,0.0,4.625,8
92,5009423,0,0,0,0,81000.0,4,4,0,1,-19569,-1013,1,0,0,0,16,2.0,8.0,2.0,5.0,10
93,5009424,1,0,0,0,108000.0,4,4,3,0,-8182,-1317,1,1,0,0,2,1.0,27.0,0.0,5.703703703703703,27
94,5009426,1,0,0,0,99000.0,1,4,1,1,-19944,365243,1,0,0,0,17,2.0,11.0,0.0,5.0,11
95,5009428,1,0,0,0,198000.0,4,4,3,5,-8657,-1164,1,1,0,0,8,1.0,15.0,0.0,5.0,15
96,5009431,1,1,0,0,360000.0,2,1,1,2,-14835,-1195,1,1,1,0,4,2.0,14.0,0.0,5.571428571428571,14
97,5009435,0,0,0,0,135000.0,1,4,1,1,-19940,365243,1,0,1,0,17,2.0,24.0,0.0,5.583333333333333,24
98,5009436,0,0,0,0,76500.0,1,4,1,1,-23480,365243,1,0,0,0,17,2.0,4.0,0.0,6.0,4
99,5009441,0,0,0,0,90000.0,2,4,1,1,-9489,-1682,1,0,1,0,17,2.0,7.0,1.0,5.285714285714286,8
100,5009445,0,1,0,0,270000.0,0,2,0,1,-13855,-739,1,1,0,0,17,2.0,16.0,1.0,4.9375,17
101,5009447,1,1,0,0,81000.0,4,4,1,5,-14435,-3386,1,1,0,0,4,2.0,5.0,3.0,5.0,8
102,5009450,0,0,0,0,202500.0,2,1,1,1,-17274,-1348,1,0,1,0,8,2.0,23.0,0.0,5.739130434782608,23
103,5009459,0,0,0,0,157500.0,4,4,1,1,-19702,-9870,1,1,1,0,17,2.0,8.0,2.0,5.0,10
104,5009473,0,0,0,0,180000.0,0,1,1,1,-13241,-4451,1,0,1,0,17,2.0,12.0,2.0,5.0,14
105,5009484,0,0,0,0,135000.0,4,4,1,2,-12130,-798,1,0,0,0,2,2.0,18.0,0.0,5.888888888888889,18
106,5009487,0,0,0,2,135000.0,4,4,1,1,-9736,-2870,1,0,0,0,17,4.0,53.0,6.0,6.0,59
107,5009490,1,1,0,0,135000.0,0,4,1,1,-16196,-6218,1,1,1,0,8,2.0,36.0,4.0,5.0,40
108,5009493,1,1,0,0,270000.0,0,4,1,1,-11706,-1164,1,1,0,1,4,2.0,47.0,0.0,5.808510638297872,47
109,5009507,0,0,0,0,202500.0,4,1,1,1,-16100,-4939,1,0,1,0,3,2.0,10.0,2.0,5.0,12
110,5009512,0,0,0,0,157500.0,4,2,1,1,-16888,-2687,1,0,0,0,3,2.0,23.0,0.0,5.652173913043479,23
111,5009518,1,1,0,2,180000.0,4,2,1,1,-12463,-2170,1,1,0,0,8,4.0,4.0,0.0,5.0,4
112,5009523,1,1,0,1,112500.0,4,4,2,0,-11998,-1135,1,1,0,0,8,2.0,11.0,0.0,5.0,11
113,5009536,1,1,0,0,216000.0,4,4,1,1,-15455,-890,1,1,0,0,8,2.0,16.0,0.0,5.75,16
114,5009537,0,1,0,0,202500.0,0,4,1,1,-15527,-1744,1,1,1,0,14,2.0,56.0,1.0,5.803571428571429,57
115,5009543,0,0,0,0,198000.0,0,4,0,1,-18813,-9748,1,0,0,0,8,2.0,33.0,3.0,5.7272727272727275,36
116,5009562,0,0,0,0,157500.0,1,4,4,1,-20302,365243,1,0,1,0,17,1.0,12.0,0.0,5.916666666666667,12
117,5009575,0,1,0,0,315000.0,4,4,1,1,-17074,-798,1,0,0,0,0,2.0,23.0,1.0,5.565217391304348,24
118,5009577,0,0,0,0,112500.0,1,4,1,1,-21316,365243,1,0,0,0,17,2.0,12.0,12.0,5.0,24
119,5009582,0,0,0,0,90000.0,4,4,2,1,-11682,-678,1,0,0,0,14,1.0,10.0,13.0,4.8,23
120,5009585,0,0,0,0,45000.0,4,4,2,1,-14374,-798,1,0,1,0,14,1.0,31.0,0.0,5.354838709677419,31
121,5009590,0,1,0,0,225000.0,4,4,1,1,-8488,-1835,1,0,1,0,17,2.0,8.0,0.0,5.0,8
122,5009592,0,0,0,0,112500.0,1,4,3,4,-23532,365243,1,0,1,0,17,1.0,8.0,0.0,6.0,8
123,5009593,0,1,0,0,144000.0,4,4,1,1,-17383,-890,1,1,1,0,3,2.0,21.0,1.0,5.142857142857143,22
124,5009602,0,1,0,0,315000.0,0,1,1,1,-13455,-2748,1,1,1,0,14,2.0,36.0,7.0,6.0,43
125,5009603,0,0,0,1,112500.0,4,4,1,1,-12872,-3720,1,1,0,0,14,3.0,38.0,0.0,5.0,38
126,5009607,0,0,0,2,144000.0,4,4,1,1,-12277,-982,1,1,1,0,6,4.0,24.0,0.0,5.333333333333333,24
127,5009617,1,1,0,0,225000.0,1,4,1,1,-17367,365243,1,0,0,0,17,2.0,14.0,0.0,5.571428571428571,14
128,5009620,1,1,0,0,135000.0,4,4,1,1,-19056,-99,1,1,0,0,4,2.0,42.0,0.0,6.0,42
129,5009625,0,0,0,0,238500.0,4,4,1,1,-19305,-3296,1,1,0,0,8,2.0,39.0,0.0,5.923076923076923,39
130,5009631,0,0,0,0,112500.0,4,4,1,1,-9890,-2047,1,0,1,0,8,2.0,23.0,5.0,5.739130434782608,28
131,5009633,1,1,0,1,144000.0,4,2,1,1,-10049,-283,1,1,0,0,4,3.0,15.0,9.0,5.0,24
132,5009636,0,0,0,0,90000.0,1,4,1,1,-21426,365243,1,0,1,0,17,2.0,7.0,7.0,5.0,14
133,5009642,1,0,0,0,202500.0,0,4,3,5,-8489,-921,1,1,0,0,17,1.0,1.0,1.0,5.0,2
134,5009651,0,0,0,0,135000.0,2,4,1,1,-18650,-10936,1,0,1,0,17,2.0,56.0,5.0,5.875,61
135,5009660,1,0,0,0,225000.0,4,1,3,1,-10166,-1774,1,1,0,0,17,1.0,41.0,0.0,5.829268292682927,41
136,5009664,0,0,0,0,126000.0,1,4,2,1,-19191,365243,1,0,0,0,17,1.0,22.0,6.0,5.681818181818182,28
137,5009671,0,0,0,0,135000.0,0,4,0,1,-15805,-433,1,1,0,0,3,2.0,8.0,1.0,5.0,9
138,5009673,0,0,0,0,90000.0,1,4,4,1,-21688,365243,1,0,1,0,17,1.0,30.0,1.0,5.733333333333333,31
139,5009689,0,0,0,0,153000.0,1,4,2,1,-23299,365243,1,0,1,0,17,1.0,13.0,28.0,5.0,41
140,5009694,1,1,0,0,1350000.0,0,1,1,2,-12999,-1560,1,0,1,1,10,2.0,24.0,1.0,5.291666666666667,25
141,5009701,0,0,0,0,139500.0,1,4,1,1,-20863,365243,1,0,0,0,17,2.0,3.0,1.0,5.0,4
142,5009706,0,0,0,0,157500.0,4,1,1,1,-11644,-344,1,0,0,0,10,2.0,4.0,1.0,5.0,5
143,5009711,0,1,0,0,135000.0,4,4,0,5,-11102,-433,1,1,1,0,14,2.0,4.0,1.0,5.0,5
144,5009713,1,0,0,0,180000.0,4,4,3,1,-9380,-1713,1,1,1,0,17,1.0,25.0,1.0,4.96,26
145,5009719,0,0,0,0,225000.0,4,4,3,1,-19316,-4451,1,1,1,0,17,1.0,23.0,1.0,5.0,24
146,5009724,0,0,0,0,135000.0,4,1,1,1,-9887,-2474,1,0,1,0,14,2.0,42.0,0.0,5.833333333333333,42
147,5009732,0,1,0,0,270000.0,0,1,1,1,-19341,-7314,1,1,1,0,10,2.0,43.0,7.0,6.0,50
148,5009736,0,1,0,0,99000.0,4,4,1,1,-14657,-4392,1,1,1,0,3,2.0,14.0,3.0,5.0,17
149,5009742,0,0,0,0,135000.0,4,4,1,1,-12328,-2474,1,1,1,0,14,2.0,15.0,0.0,5.2,15
150,5009745,0,1,0,0,315000.0,0,1,1,1,-13557,-586,1,1,1,0,17,2.0,17.0,0.0,5.470588235294118,17
151,5009757,1,1,0,0,270000.0,4,1,3,1,-9087,-1682,1,0,0,0,8,1.0,26.0,1.0,5.6923076923076925,27
152,5009762,1,0,0,0,135000.0,4,4,2,1,-14118,-3174,1,0,0,0,8,1.0,17.0,0.0,5.411764705882353,17
153,5009783,1,1,0,2,445500.0,2,1,1,2,-14906,-6826,1,1,0,0,3,4.0,29.0,0.0,5.655172413793103,29
154,5009785,0,0,0,0,198000.0,1,4,4,1,-22002,365243,1,0,1,0,17,1.0,6.0,1.0,5.0,7
155,5009799,0,1,0,0,382500.0,4,1,1,1,-15435,-3965,1,1,1,0,17,2.0,46.0,0.0,5.869565217391305,46
156,5009805,0,0,0,1,202500.0,4,4,1,1,-11813,-3266,1,1,1,0,14,3.0,10.0,0.0,5.0,10
157,5009819,0,1,0,0,99000.0,4,4,1,1,-14883,-5457,1,0,1,0,2,2.0,9.0,0.0,5.555555555555555,9
158,5009826,0,0,0,0,112500.0,4,4,1,1,-15759,-374,1,1,0,0,14,2.0,26.0,0.0,5.230769230769231,26
159,5009831,1,1,0,0,166500.0,4,1,1,5,-10435,-1713,1,1,0,0,3,2.0,19.0,1.0,5.684210526315789,20
160,5009837,0,0,0,0,135000.0,2,4,0,1,-13120,-5578,1,0,0,0,11,2.0,12.0,0.0,5.666666666666667,12
161,5009839,1,1,0,0,202500.0,4,4,0,1,-12636,-405,1,0,0,0,8,2.0,33.0,1.0,5.9393939393939394,34
162,5009843,0,0,0,0,81000.0,0,4,2,1,-17932,-1470,1,0,0,0,14,1.0,23.0,0.0,5.478260869565218,23
163,5009846,1,0,0,0,225000.0,0,1,0,1,-12282,-405,1,0,1,0,10,2.0,32.0,3.0,5.96875,35
164,5009847,0,0,0,0,99000.0,0,1,1,1,-10084,-678,1,0,0,0,14,2.0,16.0,1.0,5.8125,17
165,5009850,1,1,0,0,360000.0,0,4,2,5,-10276,-556,1,1,1,0,4,1.0,15.0,8.0,5.0,23
166,5009864,1,1,0,0,225000.0,4,1,0,4,-14555,-1226,1,1,0,0,10,2.0,31.0,1.0,5.32258064516129,32
167,5009872,1,1,0,2,427500.0,0,1,1,1,-15144,-6400,1,1,0,0,10,4.0,27.0,12.0,5.7407407407407405,39
168,5009879,0,0,1,2,144000.0,4,4,1,2,-9839,-1835,1,1,0,0,8,4.0,4.0,0.0,5.0,4
169,5009880,0,0,1,0,157500.0,1,4,0,1,-21635,365243,1,0,1,0,17,2.0,3.0,2.0,5.0,5
170,5009889,1,1,1,0,270000.0,4,4,3,1,-13172,-1195,1,0,0,1,10,1.0,15.0,0.0,5.666666666666667,15
171,5009893,0,1,0,1,157500.0,4,1,1,1,-11992,-2351,1,0,0,0,12,3.0,17.0,1.0,5.0,18
172,5009897,0,1,1,2,90000.0,2,1,1,1,-11131,-405,1,0,0,0,3,4.0,7.0,0.0,4.857142857142857,7
173,5009900,1,1,0,0,202500.0,4,4,1,1,-19120,-3661,1,0,0,0,4,2.0,49.0,0.0,5.8979591836734695,49
174,5009914,0,0,1,2,99000.0,0,1,1,1,-12752,-433,1,0,1,0,0,4.0,10.0,21.0,4.9,31
175,5009922,1,1,1,0,360000.0,4,1,1,1,-19958,-7465,1,0,0,0,8,2.0,13.0,0.0,5.0,13
176,5009934,0,0,1,2,157500.0,4,4,1,1,-10710,-2351,1,0,0,0,14,4.0,9.0,2.0,5.0,11
177,5009944,0,0,1,0,135000.0,4,2,3,1,-8482,-1501,1,1,0,1,17,1.0,26.0,1.0,4.923076923076923,27
178,5009945,0,1,0,2,99000.0,1,4,1,1,-12756,365243,1,0,0,1,17,4.0,14.0,0.0,5.142857142857143,14
179,5009946,0,1,1,2,90000.0,2,4,1,1,-12690,-4451,1,0,0,0,2,4.0,31.0,0.0,5.903225806451613,31
180,5009951,1,0,1,0,90000.0,1,4,0,1,-23083,365243,1,0,0,0,17,2.0,3.0,7.0,5.0,10
181,5009952,1,1,1,0,112500.0,4,4,1,1,-16076,-7679,1,0,0,0,17,2.0,33.0,2.0,5.878787878787879,35
182,5009957,0,1,1,1,135000.0,4,4,1,1,-16613,-3235,1,0,0,0,17,3.0,18.0,0.0,5.888888888888889,18
183,5009965,0,1,1,0,180000.0,2,4,1,1,-20644,-3873,1,0,0,0,11,2.0,12.0,1.0,5.0,13
184,5009988,1,1,1,0,495000.0,1,1,3,1,-22867,365243,1,0,0,0,17,1.0,5.0,21.0,6.0,26
185,5009993,0,0,1,0,135000.0,4,2,1,1,-16839,-3692,1,0,0,0,10,2.0,6.0,47.0,5.0,53
186,5009994,1,1,1,1,360000.0,0,4,1,1,-13940,-617,1,0,0,0,10,3.0,6.0,1.0,5.0,7
187,5009999,0,1,0,1,157500.0,4,4,1,1,-12330,-2809,1,0,1,1,0,3.0,59.0,0.0,5.8474576271186445,59
188,5010001,0,0,1,2,157500.0,2,4,1,1,-12242,-2047,1,0,0,0,3,4.0,29.0,0.0,5.586206896551724,29
189,5010005,1,1,1,0,157500.0,1,4,1,1,-23322,365243,1,0,0,0,17,2.0,12.0,0.0,5.25,12
190,5010007,0,0,1,1,112500.0,2,2,0,1,-10926,-3570,1,0,1,0,15,3.0,7.0,3.0,5.0,10
191,5010015,0,1,1,1,112500.0,0,4,2,1,-12896,-709,1,0,0,0,17,2.0,9.0,0.0,5.0,9
192,5010020,0,0,0,0,99000.0,0,1,3,5,-10833,-2504,1,0,0,1,17,1.0,58.0,0.0,5.793103448275862,58
193,5010023,0,0,1,0,135000.0,4,4,1,1,-20782,-2321,1,0,0,0,8,2.0,8.0,1.0,4.875,9
194,5010031,1,1,1,0,85500.0,1,4,1,1,-22121,365243,1,0,1,0,17,2.0,7.0,1.0,5.0,8
195,5010036,0,0,1,0,292500.0,1,4,0,1,-21582,365243,1,0,0,0,17,2.0,6.0,12.0,5.0,18
196,5010041,0,0,1,0,67500.0,4,4,1,1,-21889,-8469,1,1,0,0,3,2.0,16.0,2.0,5.9375,18
197,5010052,0,0,1,0,90000.0,4,4,1,1,-18474,-3021,1,0,0,1,1,2.0,40.0,0.0,5.875,40
198,5010057,1,1,1,0,112500.0,4,4,3,1,-16975,-2504,1,0,1,1,8,1.0,5.0,0.0,5.6,5
199,5010059,0,0,1,0,112500.0,4,4,1,1,-16573,-4574,1,0,0,0,17,2.0,6.0,13.0,6.0,19
200,5010067,0,0,1,0,360000.0,4,4,4,1,-18388,-7830,1,0,0,0,3,1.0,20.0,1.0,4.95,21
201,5010070,0,0,1,0,279000.0,2,1,3,1,-11091,-617,1,0,0,1,10,1.0,5.0,6.0,5.0,11
202,5010072,0,0,1,0,157500.0,4,4,1,1,-16757,-3508,1,0,0,0,3,2.0,6.0,18.0,5.0,24
203,5010077,1,1,0,2,157500.0,4,4,1,2,-12518,-1135,1,0,0,0,1,4.0,19.0,0.0,5.947368421052632,19
204,5010081,1,0,1,0,135000.0,4,4,1,1,-20931,-191,1,0,1,1,16,2.0,48.0,10.0,5.833333333333333,58
205,5010089,0,0,0,0,225000.0,0,4,1,1,-10304,-1682,1,0,0,0,8,2.0,3.0,2.0,5.0,5
206,5010099,0,1,1,2,306000.0,2,1,1,1,-13541,-3965,1,0,0,0,3,4.0,43.0,0.0,5.767441860465116,43
207,5010104,0,0,1,0,166500.0,1,4,1,1,-22578,365243,1,0,0,0,17,2.0,15.0,30.0,5.0,45
208,5010108,0,1,1,0,135000.0,1,4,1,1,-22118,365243,1,0,0,0,17,2.0,22.0,1.0,5.5,23
